,Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
101,Kepler-1690 b,Kepler-1690,0.7143,2.51,0.83,2.51,0.83,36.08519825,92.48879258
102,Kepler-1701 b,Kepler-1701,0.5689,1.99,0.78,1.99,0.78,42.77265916,78.38408322
103,Kepler-1704 b,Kepler-1704,2.027,11.949,1.7,11.949,1.7,15.5253745,128.141965
104,Kepler-174 d,Kepler-174,0.6448,2.1,0.59,2.1,0.59,30.65896161,117.4517709
105,Kepler-1746 b,Kepler-1746,0.8767,5.06,0.9,5.06,0.9,19.4096059,104.6875532
106,Kepler-1750 b,Kepler-1750,0.678,4.8,0.87,4.8,0.87,19.77892756,83.75234839
107,Kepler-1840 b,Kepler-1840,0.4471,2.55,0.64,2.55,0.64,27.38826481,75.07774987
108,Kepler-186 f,Kepler-186,0.3855,1.18,0.44,1.18,0.44,40.69072181,94.15822394
109,Kepler-1868 b,Kepler-1868,0.608,3.6,0.65,3.6,0.65,19.70314623,100.5256233
110,Kepler-1881 b,Kepler-1881,0.547,2.7,0.76,2.7,0.76,30.71669977,77.34999433
111,Kepler-22 b,Kepler-22,0.805,2.1,0.85,2.1,0.85,44.16969045,101.7802485
112,Kepler-309 c,Kepler-309,0.34966,1.71,0.49,1.71,0.49,31.26977054,76.68959166
113,Kepler-315 c,Kepler-315,0.7584,3.64,0.86,3.64,0.86,25.782308,94.77339214
114,Kepler-34 b,Kepler-34,1.0896,8.564,1.16,8.564,1.16,14.78107618,100.9475208
115,Kepler-419 c,Kepler-419,1.68,,1.74,0.0,1.74,,103.7639715
116,Kepler-421 b,Kepler-421,0.923,4.73,0.79,4.73,0.79,18.22597101,125.5628492
117,Kepler-424 c,Kepler-424,0.73,,0.94,0.0,0.94,,83.46061079
118,Kepler-439 b,Kepler-439,0.5886,2.33,0.78,2.33,0.78,36.53115525,81.09838528
119,Kepler-441 b,Kepler-441,0.64,1.64,0.55,1.64,0.55,36.59683822,125.0557994
120,Kepler-443 b,Kepler-443,0.5594,2.32,0.7,2.32,0.7,32.92568203,85.88374507
121,Kepler-452 b,Kepler-452,1.046,1.63,1.11,1.63,1.11,74.31219664,101.2733691
122,Kepler-453 b,Kepler-453,0.7903,6.204,0.83,6.204,0.83,14.59926622,102.3294033
123,Kepler-47 c,Kepler-47,0.991,4.62,0.96,4.62,0.96,22.67534911,110.9402074
124,Kepler-47 d,Kepler-47,0.6992,7.04,0.94,7.04,0.94,14.57068331,79.93925899
125,Kepler-511 b,Kepler-511,0.854,5.04,0.95,5.04,0.95,20.56921859,96.60971869
126,Kepler-553 c,Kepler-553,0.9084,10.99,0.85,10.99,0.85,8.44006824,114.8536369
127,Kepler-62 f,Kepler-62,0.718,1.41,0.64,1.41,0.64,49.53196827,120.5677128
128,Kepler-68 d,Kepler-68,1.4,,1.24,0.0,1.24,,121.3369021
129,Kepler-69 c,Kepler-69,0.762,1.74,0.9,1.74,0.9,56.44402634,90.99112069
130,Kepler-712 c,Kepler-712,0.682,4.41,0.72,4.41,0.72,17.81634573,101.7978089
131,Kepler-87 c,Kepler-87,1.3423,4.96,1.29,4.96,1.29,28.38133099,111.8269377
132,Kepler-967 c,Kepler-967,0.568,2.86,0.63,2.86,0.63,24.03805038,96.89343186
133,PH2 b,PH2,0.836,8.98,0.91,8.98,0.91,11.05833597,98.73052293
134,WASP-47 c,WASP-47,1.36,,1.15,0.0,1.15,,127.0947526
