pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-301 b,Kepler-301,0.0355,1.28,0.88,1.28,0.88,75.02351834,4.335430545
Kepler-309 b,Kepler-309,,1.04,0.77,1.04,0.77,80.79455822,0
Kepler-338 d,Kepler-338,,2.66,1.9,2.66,1.9,77.94651257,0
Kepler-363 b,Kepler-363,0.047,1.61,1.91,1.61,1.91,129.4589904,2.644545496
Kepler-381 c,Kepler-381,0.123,1.15,1.35,1.15,1.35,128.1033989,9.791695402
Kepler-388 c,Kepler-388,0.094,0.91,0.63,0.91,0.63,75.54815833,16.03518062
Kepler-398 b,Kepler-398,0.043,0.73,0.57,0.73,0.57,85.2072836,8.107372958
Kepler-399 b,Kepler-399,0.103,0.96,0.68,0.96,0.68,77.29695829,16.278518
Kepler-401 c,Kepler-401,0.272,2.1,1.46,2.1,1.46,75.8679389,20.0217761
Kepler-515 b,Kepler-515,0.144,1.43,1,1.43,1,76.31127104,15.47565517
Kepler-524 c,Kepler-524,,0.96,1.1,0.96,1.1,125.0391972,0
Kepler-634 b,Kepler-634,0.062,1.67,1.17,1.67,1.17,76.4529267,5.694982317
Kepler-653 c,Kepler-653,0.047,0.95,1.08,0.95,1.08,124.0580284,4.676927682
Kepler-68 c,Kepler-68,0.091,1.11,1.24,1.11,1.24,121.9055368,7.886898637
Kepler-763 b,Kepler-763,0.021,1.02,0.73,1.02,0.73,78.09934886,3.09159778
Kepler-768 b,Kepler-768,0.036,0.93,0.66,0.93,0.66,77.44363184,5.861990596
Kepler-85 d,Kepler-85,0.13,1.2,0.89,1.2,0.89,80.93446221,15.69783998
Kepler-881 b,Kepler-881,0.055,1.42,1.02,1.42,1.02,78.38564785,5.794941684
Kepler-90 i,KOI-351,,1.32,1.29,1.32,1.29,106.6450013,0
Kepler-918 b,Kepler-918,0.057,1.36,0.96,1.36,0.96,77.02949477,6.381021013
Kepler-948 b,Kepler-948,0.075,1.31,0.94,1.31,0.94,78.30351949,8.574720286
TOI-411 b,TOI-411,,1.547,1.12,1.547,1.12,79.00461002,0
