,Exoplanet,Host star,a,Ds,Dp,Ds/Dp,d/Ds
345,Kepler-1694 b,Kepler-1694,0.0449,1.13,0.84,81.11955644,5.744518165
346,Kepler-1695 b,Kepler-1695,,1.119,0.99,96.5450102,0
347,Kepler-1697 b,Kepler-1697,0.2008,2.13,1.69,86.58283978,12.76919608
348,Kepler-1698 b,Kepler-1698,0.0203,0.99,0.76,83.77281755,2.870575658
349,Kepler-1705 b,Kepler-1705,0.08,1.07,0.77,78.52929023,11.16569637
350,Kepler-1713 b,Kepler-1713,0.145,1.47,1.26,93.53581508,12.36755952
351,Kepler-1714 b,Kepler-1714,0.1047,3.04,2.09,75.02351834,5.383775573
352,Kepler-173 b,Kepler-173,0.048,1.29,0.95,80.36345869,5.430054446
353,Kepler-1743 b,Kepler-1743,0.0814,1.78,2.02,123.8386166,4.330714834
354,Kepler-1745 b,Kepler-1745,,1.929,1.4,79.19915222,0
355,Kepler-1759 b,Kepler-1759,,0.904,0.8,96.57090052,0
356,Kepler-1763 b,Kepler-1763,0.026,1.1,1.25,124.0058154,2.235372414
357,Kepler-1768 b,Kepler-1768,,2.233,1.57,76.72478039,0
358,Kepler-1772 b,Kepler-1772,0.044,2.69,2.14,86.81329057,2.209660006
359,Kepler-1783 b,Kepler-1783,0.078,2.4,1.8,81.84383819,4.657025862
360,Kepler-180 b,Kepler-180,0.109,1.5,1.06,77.1150831,11.05114265
361,Kepler-1800 b,Kepler-1800,0.0519,1.33,1.46,119.7914825,3.820331542
362,Kepler-1804 b,Kepler-1804,,1.596,1.67,114.1848035,0
363,Kepler-1807 b,Kepler-1807,0.0988,2.09,1.5,78.31946239,7.07867931
364,Kepler-1818 b,Kepler-1818,0.055,1.38,1.13,89.35607455,5.230832316
365,Kepler-1823 b,Kepler-1823,0.1528,1.56,1.13,79.04575826,14.53220323
366,Kepler-1827 b,Kepler-1827,0.046,1.37,1.57,125.0557917,3.148797496
367,Kepler-1832 b,Kepler-1832,0.037,0.97,0.72,81.00008728,5.522755029
368,Kepler-1833 b,Kepler-1833,,1.3,1.45,121.7164773,0
369,Kepler-1838 b,Kepler-1838,,1.66,1.96,128.8465244,0
370,Kepler-1839 b,Kepler-1839,0.0583,1.15,0.94,89.19792221,6.665415902
371,Kepler-1843 b,Kepler-1843,0.166,1.92,1.68,95.48447789,10.61904249
372,Kepler-1846 b,Kepler-1846,0.1089,0.96,0.73,82.98055817,16.03214277
373,Kepler-1848 b,Kepler-1848,0.055,1.0,0.7,76.38758231,8.444057882
374,Kepler-185 b,Kepler-185,,1.021,0.73,78.02285587,0
375,Kepler-1850 b,Kepler-1850,0.0205,0.54,0.59,119.2292951,3.734121128
376,Kepler-1857 b,Kepler-1857,0.086,1.57,1.11,77.1521532,8.326491146
377,Kepler-1859 b,Kepler-1859,0.039,1.23,1.09,96.7043725,3.845250712
378,Kepler-1860 b,Kepler-1860,0.1021,0.87,0.87,109.1251176,12.61226367
379,Kepler-1863 b,Kepler-1863,0.2438,1.48,1.17,86.26782945,22.39414014
380,Kepler-1866 b,Kepler-1866,0.102,1.14,0.94,89.98036012,11.66161959
381,Kepler-1867 b,Kepler-1867,,1.16,0.82,77.14016933,0
382,Kepler-1869 b,Kepler-1869,0.0854,2.07,2.01,105.9620707,4.566130983
383,Kepler-187 b,Kepler-187,0.059,1.41,1.29,99.83787354,4.915286688
384,Kepler-1879 b,Kepler-1879,0.095,1.32,1.06,87.63077625,9.631729831
385,Kepler-1882 b,Kepler-1882,0.1241,1.74,1.96,122.9225463,6.804594696
386,Kepler-1884 b,Kepler-1884,0.0845,1.17,0.91,84.87509146,9.979341133
387,Kepler-1888 b,Kepler-1888,,1.326,1.25,102.870586,0
388,Kepler-1893 b,Kepler-1893,0.0504,1.52,1.16,83.279695,4.669378716
389,Kepler-1894 b,Kepler-1894,,1.201,0.9,81.77569178,0
390,Kepler-1898 b,Kepler-1898,0.051,0.74,0.84,123.8717551,6.524953818
391,Kepler-1900 b,Kepler-1900,0.042,1.16,1.04,97.83631232,4.340127653
392,Kepler-1901 b,Kepler-1901,0.045,1.18,0.94,86.93017842,5.144832172
393,Kepler-1905 b,Kepler-1905,0.045,1.13,0.92,88.84522848,5.256676349
394,Kepler-1907 b,Kepler-1907,0.057,0.83,0.78,102.5513153,7.853564324
395,Kepler-1907 c,Kepler-1907,,1.155,0.8,75.58449703,0
396,Kepler-1909 b,Kepler-1909,0.0306,0.93,0.69,80.96379692,4.766053223
397,Kepler-1911 b,Kepler-1911,0.067,1.45,1.68,126.434619,4.285999076
398,Kepler-1912 b,Kepler-1912,0.0646,1.21,0.96,86.57860569,7.231823815
399,Kepler-1913 b,Kepler-1913,,1.519,1.08,77.58731205,0
400,Kepler-192 d,Kepler-192,,1.02,0.94,100.5662848,0
401,Kepler-1921 b,Kepler-1921,0.1557,2.24,2.0,97.43314071,8.366526078
402,Kepler-1923 b,Kepler-1923,0.2846,1.83,1.29,76.92426322,23.71001002
403,Kepler-1924 b,Kepler-1924,0.1163,1.2,0.84,76.38758231,14.87945351
404,Kepler-1927 b,Kepler-1927,,3.406,2.48,79.45692649,0
405,Kepler-1931 b,Kepler-1931,0.2322,1.96,1.4,77.94651257,17.82463855
406,Kepler-1933 b,Kepler-1933,0.0557,2.24,1.92,93.53581508,3.117744477
407,Kepler-1934 b,Kepler-1934,,0.913,1.03,123.1093879,0
408,Kepler-194 b,Kepler-194,0.033,1.46,1.04,77.73296048,3.410100298
409,Kepler-1943 b,Kepler-1943,0.0571,1.1,0.97,96.22851279,6.326316655
410,Kepler-1945 b,Kepler-1945,0.0597,1.05,0.8,83.14294674,8.019935884
411,Kepler-1947 b,Kepler-1947,0.0711,1.44,1.69,128.0704505,4.521363752
412,Kepler-1948 b,Kepler-1948,0.1022,0.72,0.56,84.87509146,19.61324353
413,Kepler-1949 b,Kepler-1949,0.0352,1.36,1.45,116.3466327,2.608922711
414,Kepler-1950 b,Kepler-1950,0.0871,1.06,0.85,87.50599052,11.01249645
415,Kepler-1951 b,Kepler-1951,0.1435,1.27,1.31,112.5621292,11.77245821
416,Kepler-1952 b,Kepler-1952,,1.239,1.3,114.4977021,0
417,Kepler-1955 b,Kepler-1955,,1.167,1.29,120.6267367,0
418,Kepler-1957 b,Kepler-1957,0.0299,0.82,0.77,102.471147,4.173179019
419,Kepler-1959 b,Kepler-1959,,1.143,0.81,77.3327605,0
420,Kepler-1960 b,Kepler-1960,0.0354,0.98,1.07,119.1468121,3.555543829
421,Kepler-1961 b,Kepler-1961,0.0588,1.11,0.78,76.68251506,8.101571618
422,Kepler-1962 b,Kepler-1962,,1.215,1.01,90.71306071,0
423,Kepler-1963 b,Kepler-1963,0.0298,0.83,0.98,128.8465244,3.267960063
424,Kepler-1965 b,Kepler-1965,0.2305,1.06,0.84,86.47650828,29.49023245
425,Kepler-1966 b,Kepler-1966,0.0763,1.01,0.84,90.75752354,9.761842672
426,Kepler-1967 b,Kepler-1967,0.0735,1.85,1.81,106.7656556,4.364106258
427,Kepler-197 b,Kepler-197,,1.064,1.21,124.0990529,0
428,Kepler-197 c,Kepler-197,,1.208,1.21,109.3057883,0
429,Kepler-197 d,Kepler-197,,1.15,1.17,111.0229457,0
430,Kepler-197 e,Kepler-197,0.1626,0.95,1.11,127.5040848,15.74287745
431,Kepler-20 e,Kepler-20,,0.81,0.93,125.2918017,0
432,Kepler-20 f,Kepler-20,0.1362,0.9,0.93,112.7626215,15.73912959
433,Kepler-203 d,Kepler-203,,1.317,1.04,86.17321359,0
434,Kepler-204 c,Kepler-204,,1.45,1.11,83.53715898,0
435,Kepler-206 b,Kepler-206,0.078,1.2,1.19,108.2157416,7.0442408
436,Kepler-206 d,Kepler-206,,0.98,1.12,124.7144201,0
437,Kepler-207 b,Kepler-207,,1.45,1.49,112.1354657,0
438,Kepler-207 c,Kepler-207,0.044,1.5,1.59,115.6726246,2.974007807
439,Kepler-208 b,Kepler-208,,1.532,1.26,89.75042308,0
440,Kepler-208 c,Kepler-208,0.079,1.39,1.31,102.8445353,6.48100487
441,Kepler-208 d,Kepler-208,0.103,1.2,1.31,119.1282534,8.449917742
442,Kepler-208 e,Kepler-208,0.132,1.48,1.31,96.59047571,10.82902079
443,Kepler-21 b,Kepler-21,0.043,1.72,2.04,129.4274651,2.265295385
444,Kepler-213 b,Kepler-213,,1.31,1.0,83.30161648,0
445,Kepler-215 c,Kepler-215,,1.323,0.91,75.05960469,0
446,Kepler-217 b,Kepler-217,,2.11,1.76,91.02379477,0
447,Kepler-217 c,Kepler-217,,1.74,1.76,110.3794293,0
448,Kepler-217 d,Kepler-217,0.054,1.25,1.36,118.7281279,4.267184331
449,Kepler-218 b,Kepler-218,0.046,1.48,1.06,78.15717882,4.663784971
450,Kepler-220 b,Kepler-220,0.0456,0.83,0.69,90.71847125,7.102353823
451,Kepler-220 d,Kepler-220,0.162,0.88,0.66,81.84383819,26.37895768
452,Kepler-226 d,Kepler-226,0.0743,1.3,0.91,76.38758231,8.774734274
453,Kepler-23 b,Kepler-23,0.077,1.95,1.87,104.6481897,4.425228195
454,Kepler-23 d,Kepler-23,0.124,2.2,1.55,76.88360558,8.597586207
455,Kepler-238 b,Kepler-238,,1.36,1.26,101.1012119,0
456,Kepler-24 d,Kepler-24,0.051,1.67,1.29,84.29425251,4.248807137
457,Kepler-250 b,Kepler-250,,0.975,0.76,85.06163012,0
458,Kepler-255 d,Kepler-255,,1.323,0.93,76.70926633,0
459,Kepler-256 b,Kepler-256,0.027,1.59,1.3,89.22179426,2.23206565
460,Kepler-270 b,Kepler-270,0.107,2.01,1.46,79.26501079,7.876213392
461,Kepler-270 c,Kepler-270,0.1768,1.5,1.3,94.57510191,14.61589655
462,Kepler-271 b,Kepler-271,0.056,0.89,0.88,107.8989927,6.838989028
463,Kepler-271 c,Kepler-271,,0.95,0.87,99.93563401,0
464,Kepler-278 b,Kepler-278,0.207,4.07,2.94,78.82748052,7.566753167
465,Kepler-278 c,Kepler-278,,2.99,2.75,100.3659108,0
466,Kepler-282 b,Kepler-282,0.082,1.01,0.9,97.24020379,9.791695402
467,Kepler-282 c,Kepler-282,0.1034,1.1,0.87,86.30804755,12.77285077
468,Kepler-285 c,Kepler-285,0.0617,1.21,0.88,79.36372188,7.535100411
469,Kepler-286 b,Kepler-286,0.029,1.33,0.93,76.30553335,3.351209677
470,Kepler-288 b,Kepler-288,0.067,1.64,1.15,76.52066173,6.261285607
471,Kepler-295 b,Kepler-295,0.099,1.22,0.9,80.50213593,11.82168103
472,Kepler-295 c,Kepler-295,0.142,1.17,0.9,83.94239815,16.95635057
473,Kepler-299 b,Kepler-299,0.04,1.32,1.03,85.15065994,4.173585537
474,Kepler-301 b,Kepler-301,0.0355,1.28,0.88,75.02351834,4.335430545
475,Kepler-309 b,Kepler-309,,1.04,0.77,80.79455822,0
476,Kepler-310 b,Kepler-310,0.111,1.19,0.88,80.69756595,13.55585325
477,Kepler-311 b,Kepler-311,,1.6,1.13,77.0696143,0
478,Kepler-311 c,Kepler-311,0.145,1.43,1.19,90.81041254,13.09506303
479,Kepler-312 b,Kepler-312,,1.04,1.19,124.8643172,0
480,Kepler-314 b,Kepler-314,,0.76,0.87,124.9195425,0
481,Kepler-320 b,Kepler-320,,1.5,1.53,111.3076199,0
482,Kepler-320 c,Kepler-320,0.142,1.37,1.11,88.41524126,13.74839236
483,Kepler-322 b,Kepler-322,0.0263,0.97,0.88,99.00010668,3.211882347
484,Kepler-323 b,Kepler-323,,1.34,1.12,91.20905351,0
485,Kepler-323 c,Kepler-323,,1.9,1.38,79.25929594,0
486,Kepler-324 b,Kepler-324,0.05,1.14,0.84,80.40798138,6.397013547
487,Kepler-33 b,Kepler-33,,1.32,1.52,125.6592263,0
488,Kepler-332 c,Kepler-332,0.1141,1.04,0.72,75.54815833,17.0309824
489,Kepler-334 b,Kepler-334,,1.09,1.11,111.1274133,0
490,Kepler-334 c,Kepler-334,0.107,1.43,1.07,81.65306002,10.74698276
491,Kepler-334 d,Kepler-334,0.168,1.41,1.07,82.81125945,16.87376732
492,Kepler-336 b,Kepler-336,0.0307,0.73,0.86,128.5583577,3.836422915
493,Kepler-337 b,Kepler-337,,1.16,1.38,129.8212606,0
494,Kepler-337 c,Kepler-337,0.093,2.05,1.76,93.68790583,5.678803389
495,Kepler-338 b,Kepler-338,,2.58,1.9,80.36345869,0
496,Kepler-338 c,Kepler-338,,2.48,1.9,83.60392074,0
497,Kepler-338 d,Kepler-338,,2.66,1.9,77.94651257,0
498,Kepler-338 e,Kepler-338,,1.56,1.74,121.7164773,0
499,Kepler-339 c,Kepler-339,,1.054,0.78,80.75672839,0
500,Kepler-339 d,Kepler-339,,1.07,0.78,79.54915114,0
501,Kepler-340 b,Kepler-340,,2.259,1.68,81.15546594,0
502,Kepler-341 b,Kepler-341,0.0579,1.18,1.11,102.6515937,5.605858574
503,Kepler-342 c,Kepler-342,,1.76,1.34,83.08389635,0
504,Kepler-342 e,Kepler-342,,1.191,1.39,127.3584496,0
505,Kepler-343 c,Kepler-343,0.167,2.02,1.43,77.25193968,12.55067217
506,Kepler-345 b,Kepler-345,0.063,0.69,0.58,91.72835971,11.67344679
507,Kepler-348 b,Kepler-348,,1.52,1.39,99.79204832,0
508,Kepler-348 c,Kepler-348,,1.22,1.39,124.3310766,0
509,Kepler-350 b,Kepler-350,0.0979,1.5,1.25,90.93759799,8.417036897
510,Kepler-352 b,Kepler-352,0.085,0.86,0.78,98.97394386,11.71145557
511,Kepler-352 d,Kepler-352,0.0665,0.66,0.75,124.0058154,9.528991379
512,Kepler-355 b,Kepler-355,0.0971,1.45,1.07,80.52681091,9.752635756
513,Kepler-356 b,Kepler-356,0.0556,1.3,1.11,93.17606194,5.383173346
514,Kepler-356 c,Kepler-356,0.115,1.81,1.33,80.18585989,9.292503889
515,Kepler-36 b,Kepler-36,,1.47,1.68,124.7144201,0
516,Kepler-361 b,Kepler-361,0.0838,1.34,1.27,103.4245517,7.091316182
517,Kepler-362 b,Kepler-362,0.0864,0.84,0.73,94.83492362,12.71971658
518,Kepler-363 b,Kepler-363,0.047,1.61,1.91,129.4589904,2.644545496
519,Kepler-363 c,Kepler-363,,1.41,1.29,99.83787354,0
520,Kepler-363 d,Kepler-363,0.1079,1.83,1.39,82.8873844,8.342442012
521,Kepler-364 b,Kepler-364,0.182,1.3,1.17,98.21260583,16.71752874
522,Kepler-366 b,Kepler-366,0.045,1.37,1.01,80.44990421,4.788259645
523,Kepler-37 c,Kepler-37,,0.68,0.78,125.172929,0
524,Kepler-370 b,Kepler-370,,1.498,1.06,77.21804049,0
525,Kepler-372 b,Kepler-372,0.075,1.36,1.14,91.47252504,7.070383394
526,Kepler-373 c,Kepler-373,0.1238,1.15,0.84,79.70878155,15.83900554
527,Kepler-374 b,Kepler-374,0.029,1.03,0.91,96.41151166,3.424862637
528,Kepler-374 c,Kepler-374,,1.627,1.38,92.55848941,0
529,Kepler-374 d,Kepler-374,,1.849,1.38,81.44546364,0
530,Kepler-376 b,Kepler-376,,1.06,1.24,127.6557979,0
531,Kepler-377 b,Kepler-377,0.109,1.39,1.22,95.77888019,9.601812465
532,Kepler-378 b,Kepler-378,0.112,0.75,0.67,97.48510505,17.96510551
533,Kepler-378 c,Kepler-378,,0.71,0.72,110.6620911,0
534,Kepler-379 b,Kepler-379,0.1495,1.58,1.26,87.02382795,12.75138034
535,Kepler-380 b,Kepler-380,0.0486,1.07,1.1,112.1847003,4.748212382
536,Kepler-380 c,Kepler-380,0.078,1.27,1.22,104.8288531,6.871021764
537,Kepler-381 c,Kepler-381,0.123,1.15,1.35,128.1033989,9.791695402
538,Kepler-382 b,Kepler-382,0.057,1.35,1.0,80.83342044,6.125780172
539,Kepler-384 b,Kepler-384,,1.946,1.65,92.52643578,0
540,Kepler-384 c,Kepler-384,0.236,1.13,0.88,84.98239246,28.82145376
541,Kepler-387 b,Kepler-387,,0.98,1.0,111.3521608,0
542,Kepler-387 c,Kepler-387,0.098,0.89,1.05,128.7431163,10.03051724
543,Kepler-388 b,Kepler-388,0.036,0.81,0.59,79.48619676,6.557481005
544,Kepler-388 c,Kepler-388,0.094,0.91,0.63,75.54815833,16.03518062
545,Kepler-390 b,Kepler-390,,0.775,0.82,115.4614147,0
546,Kepler-390 c,Kepler-390,0.101,0.79,0.78,107.743787,13.91596485
547,Kepler-391 b,Kepler-391,0.0816,2.21,2.56,126.407376,3.425600754
548,Kepler-391 c,Kepler-391,0.1606,2.38,2.56,117.3782777,6.742052465
549,Kepler-392 b,Kepler-392,0.0619,1.19,1.4,128.3824913,4.751701663
550,Kepler-392 c,Kepler-392,0.0967,1.31,1.4,116.6222631,7.42309452
551,Kepler-393 b,Kepler-393,0.091,1.29,1.38,116.7384979,7.086778486
552,Kepler-393 c,Kepler-393,,1.308,1.53,127.6463531,0
553,Kepler-394 b,Kepler-394,,1.401,1.02,79.44869375,0
554,Kepler-394 d,Kepler-394,0.065,1.37,1.1,87.61870756,6.350489812
555,Kepler-398 b,Kepler-398,0.043,0.73,0.57,85.2072836,8.107372958
556,Kepler-398 d,Kepler-398,0.0626,0.85,0.66,84.73244425,10.19335031
557,Kepler-399 b,Kepler-399,0.103,0.96,0.68,77.29695829,16.278518
558,Kepler-400 b,Kepler-400,,1.59,1.12,76.86800736,0
559,Kepler-400 c,Kepler-400,0.1313,1.43,1.11,84.70551086,12.71242195
560,Kepler-401 b,Kepler-401,0.123,1.75,1.46,91.04152668,9.053964927
561,Kepler-401 c,Kepler-401,0.272,2.1,1.46,75.8679389,20.0217761
562,Kepler-402 b,Kepler-402,0.053,1.14,1.23,117.7402585,4.630813709
563,Kepler-402 c,Kepler-402,0.07,1.43,1.23,93.86286338,6.11616905
564,Kepler-402 d,Kepler-402,,1.22,1.24,110.9140539,0
565,Kepler-402 e,Kepler-402,0.105,1.41,1.23,95.19425152,9.174253574
566,Kepler-403 b,Kepler-403,0.0779,1.38,1.5,118.6142583,5.581266379
567,Kepler-403 c,Kepler-403,0.293,1.35,1.06,85.68342566,29.70628253
568,Kepler-403 d,Kepler-403,0.1211,1.46,1.5,112.1148468,8.676397414
569,Kepler-404 b,Kepler-404,,1.081,0.79,79.74916087,0
570,Kepler-406 b,Kepler-406,,1.27,0.97,83.34753076,0
571,Kepler-407 b,Kepler-407,,1.07,1.06,108.1052567,0
572,Kepler-409 b,Kepler-409,,0.98,0.9,100.2169447,0
573,Kepler-430 c,Kepler-430,0.4757,1.75,1.49,92.91224298,34.31100469
574,Kepler-431 d,Kepler-431,0.109,1.82,1.79,107.3263519,6.544252071
575,Kepler-444 c,Kepler-444,0.0475,0.65,0.72,120.8770533,7.090023348
576,Kepler-444 d,Kepler-444,0.0584,0.65,0.72,120.8770533,8.716997126
577,Kepler-444 e,Kepler-444,0.0678,0.62,0.72,126.725943,10.12007543
578,Kepler-444 f,Kepler-444,0.0761,0.51,0.59,126.2427831,13.86178624
579,Kepler-449 b,Kepler-449,0.1047,1.57,1.47,102.1744732,7.654483638
580,Kepler-449 c,Kepler-449,0.2018,1.89,1.47,84.87509146,14.75334096
581,Kepler-452 b,Kepler-452,,1.511,1.11,80.16471246,0
582,Kepler-466 c,Kepler-466,0.0465,1.16,1.02,95.95484478,4.899359787
583,Kepler-495 c,Kepler-495,0.061,0.74,0.76,112.0744451,8.62586774
584,Kepler-50 b,Kepler-50,0.0832,1.54,1.58,111.9595362,5.659170668
585,Kepler-50 c,Kepler-50,0.094,1.82,1.58,94.7349922,6.393774553
586,Kepler-501 c,Kepler-501,0.0467,1.62,1.22,82.18064411,4.113804056
587,Kepler-507 b,Kepler-507,,1.3,1.32,110.8039656,0
588,Kepler-508 b,Kepler-508,,1.64,1.25,83.17463231,0
589,Kepler-514 b,Kepler-514,0.0642,1.49,1.27,93.01268412,5.432726717
590,Kepler-515 b,Kepler-515,0.144,1.43,1.0,76.31127104,15.47565517
591,Kepler-520 c,Kepler-520,,1.07,1.09,111.1648394,0
592,Kepler-524 c,Kepler-524,,0.96,1.1,125.0391972,0
593,Kepler-534 c,Kepler-534,0.0761,1.06,0.96,98.83029518,8.519222791
594,Kepler-537 b,Kepler-537,,1.41,0.99,76.61976342,0
595,Kepler-56 b,Kepler-56,,4.5,4.19,101.6076095,0
596,Kepler-589 c,Kepler-589,0.0426,1.1,0.92,91.26828017,4.976320277
597,Kepler-59 b,Kepler-59,,1.14,1.17,111.9968312,0
598,Kepler-595 c,Kepler-595,,1.009,0.82,88.6844365,0
599,Kepler-60 b,Kepler-60,0.0719,1.64,1.31,87.16701466,5.898534812
600,Kepler-60 c,Kepler-60,,1.79,1.28,78.03360364,0
601,Kepler-60 d,Kepler-60,,1.52,1.28,91.89483587,0
602,Kepler-603 d,Kepler-603,,1.32,1.01,83.49724907,0
603,Kepler-605 c,Kepler-605,0.033,0.74,0.77,113.5491088,4.605849754
604,Kepler-607 b,Kepler-607,0.0135,0.91,0.89,106.7267634,1.630160306
605,Kepler-62 c,Kepler-62,0.0929,0.54,0.64,129.3334727,15.59991716
606,Kepler-625 c,Kepler-625,0.054,1.22,1.2,107.3361812,4.836142241
607,Kepler-633 b,Kepler-633,0.0824,2.18,1.55,77.58895976,5.713234705
608,Kepler-634 b,Kepler-634,0.062,1.67,1.17,76.4529267,5.694982317
609,Kepler-647 b,Kepler-647,,1.17,1.07,99.79818446,0
610,Kepler-65 b,Kepler-65,,1.409,1.51,116.9474291,0
611,Kepler-65 d,Kepler-65,,1.506,1.51,109.4149585,0
612,Kepler-653 c,Kepler-653,0.047,0.95,1.08,124.0580284,4.676927682
613,Kepler-68 c,Kepler-68,0.091,1.11,1.24,121.9055368,7.886898637
614,Kepler-730 c,Kepler-730,0.0413,1.23,1.11,98.47876466,3.998652144
615,Kepler-743 b,Kepler-743,0.042,1.28,0.92,78.43367827,4.906231259
616,Kepler-746 b,Kepler-746,0.0435,1.17,1.02,95.1347179,4.583272059
617,Kepler-750 c,Kepler-750,0.0533,2.36,1.86,86.00538929,3.079646135
618,Kepler-756 b,Kepler-756,0.0219,1.54,1.11,78.65511723,2.120350652
619,Kepler-757 b,Kepler-757,0.019,1.14,1.02,97.63826311,2.001888945
620,Kepler-758 c,Kepler-758,0.06,1.43,1.24,94.62597609,5.200152948
621,Kepler-758 e,Kepler-758,,1.53,1.42,101.2795209,0
622,Kepler-763 b,Kepler-763,0.021,1.02,0.73,78.09934886,3.09159778
623,Kepler-768 b,Kepler-768,0.036,0.93,0.66,77.44363184,5.861990596
624,Kepler-769 c,Kepler-769,0.1297,1.62,1.18,79.48619676,11.81257342
625,Kepler-770 c,Kepler-770,,1.47,1.22,90.56642412,0
626,Kepler-773 b,Kepler-773,0.0465,1.52,1.11,79.69005298,4.502114399
627,Kepler-774 b,Kepler-774,0.1114,3.51,2.87,89.22766025,4.171476931
628,Kepler-775 b,Kepler-775,,1.169,0.84,78.41325815,0
629,Kepler-780 b,Kepler-780,0.015,0.9,1.04,126.1001359,1.55004559
630,Kepler-783 b,Kepler-783,,0.78,0.89,124.5145573,0
631,Kepler-784 b,Kepler-784,0.199,1.95,1.65,92.33663796,12.96151254
632,Kepler-793 b,Kepler-793,0.05,1.38,1.06,83.8207425,5.06933149
633,Kepler-794 b,Kepler-794,0.1036,2.06,1.44,76.2816356,7.73185704
634,Kepler-796 b,Kepler-796,0.069,1.95,1.69,94.57510191,4.387821363
635,Kepler-804 c,Kepler-804,0.088,0.88,0.88,109.1251176,10.74698276
636,Kepler-806 b,Kepler-806,0.078,1.46,1.65,123.3263315,5.08039185
637,Kepler-815 b,Kepler-815,,4.11,3.42,90.80484238,0
638,Kepler-825 b,Kepler-825,0.049,1.41,1.09,84.35913346,4.831212433
639,Kepler-826 b,Kepler-826,,1.25,1.15,100.3951082,0
640,Kepler-831 b,Kepler-831,0.062,1.15,0.89,84.45335188,7.486662146
641,Kepler-84 d,Kepler-84,0.052,1.38,1.17,92.51912144,4.776436782
642,Kepler-848 b,Kepler-848,0.072,1.9,1.35,77.53626776,5.731724138
643,Kepler-85 d,Kepler-85,0.13,1.2,0.89,80.93446221,15.69783998
644,Kepler-85 e,Kepler-85,,1.186,0.87,80.04962252,0
645,Kepler-853 b,Kepler-853,0.078,1.28,1.22,104.0098777,6.871021764
646,Kepler-881 b,Kepler-881,0.055,1.42,1.02,78.38564785,5.794941684
647,Kepler-882 b,Kepler-882,0.046,0.95,0.73,83.85403773,6.772071327
648,Kepler-884 b,Kepler-884,0.0622,1.16,0.93,87.48824083,7.187766963
649,Kepler-886 b,Kepler-886,0.067,1.6,1.26,85.9360301,5.714665435
650,Kepler-887 b,Kepler-887,0.1536,1.78,1.3,79.69811959,12.69797347
651,Kepler-887 c,Kepler-887,0.08,0.95,1.12,128.6527702,7.676416256
652,Kepler-889 b,Kepler-889,,1.247,1.47,128.639874,0
653,Kepler-90 i,KOI-351,,1.32,1.29,106.6450013,0
654,Kepler-904 b,Kepler-904,0.0417,1.31,0.99,82.46860032,4.526759404
655,Kepler-907 b,Kepler-907,,1.2,1.38,125.4938852,0
656,Kepler-908 b,Kepler-908,,1.336,1.29,105.3678156,0
657,Kepler-909 b,Kepler-909,0.1188,1.22,1.05,93.91915858,12.15944335
658,Kepler-911 b,Kepler-911,0.1549,2.41,1.88,85.12664775,8.854827815
659,Kepler-914 b,Kepler-914,0.0546,1.32,1.15,95.07112517,5.10248051
660,Kepler-915 b,Kepler-915,0.0542,1.24,1.18,103.84487,4.936325979
661,Kepler-918 b,Kepler-918,0.057,1.36,0.96,77.02949477,6.381021013
662,Kepler-92 c,Kepler-92,,2.455,1.82,80.89927251,0
663,Kepler-92 d,Kepler-92,,2.067,1.82,96.0850092,0
664,Kepler-922 b,Kepler-922,0.0182,1.58,1.09,75.28251783,1.794450332
665,Kepler-923 b,Kepler-923,,1.38,1.26,99.63597693,0
666,Kepler-929 b,Kepler-929,,1.614,1.61,108.8546712,0
667,Kepler-948 b,Kepler-948,0.075,1.31,0.94,78.30351949,8.574720286
668,Kepler-953 c,Kepler-953,0.0878,1.16,1.0,94.07337723,9.435850862
669,Kepler-969 c,Kepler-969,,0.99,0.82,90.38646104,0
670,Kepler-990 c,Kepler-990,0.0127,1.67,1.21,79.06670197,1.127989099
671,Kepler-997 b,Kepler-997,0.0382,0.98,1.13,125.8279417,3.633050809
672,Kepler-999 b,Kepler-999,0.071,2.5,1.87,81.62558796,4.080405219
673,TOI-1860 b,TOI-1860,,1.27,0.93,79.91051918,0
674,TOI-411 b,TOI-411,,1.547,1.12,79.00461002,0
