,Exoplanet,Host star,a,Ds,Dp,Ds/Dp,d/Ds
85,Kepler-1072 b,Kepler-1072,,1.58,1.32,91.16781976,0
86,Kepler-1073 d,Kepler-1073,0.0352,1.48,1.12,82.58117007,3.377623153
87,Kepler-1076 b,Kepler-1076,0.0611,0.79,0.75,103.5997952,8.755208621
88,Kepler-1079 b,Kepler-1079,,1.63,1.36,91.04917787,0
89,Kepler-1081 b,Kepler-1081,,0.957,0.84,95.78380227,0
90,Kepler-1082 b,Kepler-1082,,1.302,1.36,113.9862979,0
91,Kepler-1084 b,Kepler-1084,,1.11,1.28,125.8379734,0
92,Kepler-1088 b,Kepler-1088,0.165,1.6,1.28,87.30009407,13.85353246
93,Kepler-1091 b,Kepler-1091,0.025,1.11,0.85,83.56427924,3.160877282
94,Kepler-1095 b,Kepler-1095,,1.21,0.92,82.97116379,0
95,Kepler-1098 b,Kepler-1098,,1.477,1.21,89.39836986,0
96,Kepler-1100 b,Kepler-1100,0.0684,1.25,0.98,85.55409219,7.500955313
97,Kepler-1104 b,Kepler-1104,,1.23,1.41,125.094647,0
98,Kepler-1106 b,Kepler-1106,,1.65,1.17,77.37962884,0
99,Kepler-111 b,Kepler-111,0.046,1.49,1.16,84.95646739,4.261734542
100,Kepler-1115 b,Kepler-1115,,2.1,2.29,118.9983425,0
101,Kepler-1117 b,Kepler-1117,,1.11,0.93,91.42915258,0
102,Kepler-1121 b,Kepler-1121,0.115,1.53,1.43,101.992757,8.642678442
103,Kepler-1130 b,Kepler-1130,0.0596,0.86,0.88,111.662911,7.278638323
104,Kepler-1130 c,Kepler-1130,,0.792,0.84,115.7387611,0
105,Kepler-1137 b,Kepler-1137,,2.2,1.84,91.26828017,0
106,Kepler-1139 b,Kepler-1139,0.0165,1.14,0.89,85.19417075,1.992418152
107,Kepler-1141 b,Kepler-1141,0.0345,0.97,1.13,127.125137,3.281158453
108,Kepler-1142 b,Kepler-1142,0.134,1.16,0.86,80.90310442,16.74529872
109,Kepler-1149 b,Kepler-1149,,1.44,1.01,76.53914498,0
110,Kepler-115 b,Kepler-115,,1.0,1.15,125.4938852,0
111,Kepler-1150 b,Kepler-1150,0.0382,2.33,1.73,81.02422894,2.373033187
