pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1561 b,Kepler-1561,0.0194,0.85,0.86,0.85,0.86,110.4089425,2.424319366
Kepler-1563 b,Kepler-1563,0.0442,0.75,0.88,0.75,0.88,128.040138,5.39791634
Kepler-1566 b,Kepler-1566,0.0118,0.68,0.68,0.68,0.68,109.1251176,1.864917596
Kepler-1568 b,Kepler-1568,,1.294,1.25,1.294,1.25,105.4145263,0
Kepler-1569 b,Kepler-1569,0.064,1.25,1.09,1.25,1.09,95.15710254,6.310155014
Kepler-157 b,Kepler-157,0.028,1.16,0.92,1.16,0.92,86.54750706,3.27082084
Kepler-157 d,Kepler-157,,1.46,1.03,1.46,1.03,76.98552816,0
Kepler-1570 b,Kepler-1570,,2.134,1.81,2.134,1.81,92.55691792,0
Kepler-1571 b,Kepler-1571,0.0432,1.61,1.48,1.61,1.48,100.3137727,3.13695713
Kepler-1572 b,Kepler-1572,,0.94,0.95,0.94,0.95,110.2860231,0
Kepler-1573 b,Kepler-1573,0.0364,1.06,0.96,1.06,0.96,98.83029518,4.074897629
Kepler-1574 b,Kepler-1574,,1.29,1.08,1.29,1.08,91.36056357,0
Kepler-1575 b,Kepler-1575,,1.328,0.97,1.328,0.97,79.70735246,0
Kepler-1576 b,Kepler-1576,,1.04,1.06,1.04,1.06,111.2236775,0
Kepler-1577 b,Kepler-1577,,0.982,0.69,0.982,0.69,76.67650829,0
Kepler-1578 b,Kepler-1578,,1.045,0.89,1.045,0.89,92.93909537,0
Kepler-1579 b,Kepler-1579,0.014,0.59,0.51,0.59,0.51,94.32849148,2.95015213
Kepler-1580 b,Kepler-1580,0.2875,1.19,1.2,1.19,1.2,110.0421354,25.74797953
Kepler-1584 b,Kepler-1584,,1.588,1.21,1.588,1.21,83.14949136,0
Kepler-1586 b,Kepler-1586,0.13,1.95,2.11,1.95,2.11,118.0789734,6.621363785
Kepler-1587 b,Kepler-1587,0.0878,1.32,1.27,1.32,1.27,104.9915904,7.429803828
Kepler-1589 b,Kepler-1589,,1.27,1.32,1.27,1.32,113.4213821,0
Kepler-1590 b,Kepler-1590,,1.14,1.16,1.14,1.16,111.0395933,0
Kepler-1591 b,Kepler-1591,0.0794,0.93,0.91,0.93,0.91,106.7783409,9.377037704
Kepler-1592 b,Kepler-1592,,1.937,1.61,1.937,1.61,90.70285974,0
Kepler-1594 b,Kepler-1594,,1.06,1.08,1.06,1.08,111.1840821,0
Kepler-1595 b,Kepler-1595,0.051,1.22,0.86,1.22,0.86,76.92426322,6.373210706
Kepler-1598 b,Kepler-1598,0.0527,0.96,1.09,0.96,1.09,123.9024773,5.19601827
Kepler-1602 b,Kepler-1602,,1.34,1.36,1.34,1.36,110.7538507,0
Kepler-1603 b,Kepler-1603,,1.29,1.31,1.29,1.31,110.8169799,0
Kepler-1605 b,Kepler-1605,0.4506,5.18,4,5.18,4,84.26650007,12.10647608
Kepler-1607 b,Kepler-1607,0.1075,1.25,1.38,1.25,1.38,120.4741298,8.371743816
Kepler-1611 b,Kepler-1611,0.0541,0.66,0.72,0.66,0.72,119.0455828,8.075163434
Kepler-1612 b,Kepler-1612,0.0482,0.94,0.87,0.94,0.87,100.998779,5.954075505
Kepler-1617 b,Kepler-1617,,1.2,1.22,1.2,1.22,110.9438696,0
Kepler-162 b,Kepler-162,,1.56,1.2,1.56,1.2,83.94239815,0
Kepler-1620 b,Kepler-1620,0.4322,1.31,1.05,1.31,1.05,87.46669731,44.23662808
Kepler-1622 b,Kepler-1622,,1.47,1.5,1.47,1.5,111.3521608,0
Kepler-1623 b,Kepler-1623,,1.31,1,1.31,1,83.30161648,0
Kepler-1626 b,Kepler-1626,0.0537,1.24,1.18,1.24,1.18,103.84487,4.890787916
Kepler-163 b,Kepler-163,0.078,1.05,0.92,1.05,0.92,95.61438875,9.111572339
Kepler-1631 b,Kepler-1631,,1.35,0.95,1.35,0.95,76.79174942,0
Kepler-1633 b,Kepler-1633,0.6407,1.06,0.92,1.06,0.92,94.71236621,74.84338971
Kepler-1637 b,Kepler-1637,,0.89,1.02,0.89,1.02,125.0647415,0
Kepler-164 b,Kepler-164,0.058,1.41,1.15,1.41,1.15,89.00275548,5.420217391
Kepler-1671 b,Kepler-1671,0.0491,1.07,0.85,1.07,0.85,86.68817753,6.207962982
Kepler-168 b,Kepler-168,0.056,1.46,1.11,1.46,1.11,82.96498666,5.421901212
Kepler-1686 b,Kepler-1686,0.089,1,0.98,1,0.98,106.9426152,9.760014954
Kepler-1688 b,Kepler-1688,0.0608,2.53,1.83,2.53,1.83,78.93239731,3.57058225
Kepler-1689 b,Kepler-1689,,0.947,1,0.947,1,115.2324367,0
Kepler-169 b,Kepler-169,0.0407,1.3,0.94,1.3,0.94,78.90585426,4.653214875
Kepler-1691 b,Kepler-1691,0.0495,1.72,1.19,1.72,1.19,75.49935461,4.470383584
Kepler-1692 b,Kepler-1692,0.0646,1,0.9,1,0.9,98.21260583,7.713945402
Kepler-1693 b,Kepler-1693,0.1011,1.39,1.1,1.39,1.1,86.35800673,9.877454154
Kepler-1693 c,Kepler-1693,0.0588,1.15,1.1,1.15,1.1,104.3805473,5.744750784
Kepler-1694 b,Kepler-1694,0.0449,1.13,0.84,1.13,0.84,81.11955644,5.744518165
Kepler-1695 b,Kepler-1695,,1.119,0.99,1.119,0.99,96.5450102,0
Kepler-1697 b,Kepler-1697,0.2008,2.13,1.69,2.13,1.69,86.58283978,12.76919608
Kepler-1698 b,Kepler-1698,0.0203,0.99,0.76,0.99,0.76,83.77281755,2.870575658
Kepler-1705 b,Kepler-1705,0.08,1.07,0.77,1.07,0.77,78.52929023,11.16569637
Kepler-1713 b,Kepler-1713,0.145,1.47,1.26,1.47,1.26,93.53581508,12.36755952
Kepler-1714 b,Kepler-1714,0.1047,3.04,2.09,3.04,2.09,75.02351834,5.383775573
Kepler-173 b,Kepler-173,0.048,1.29,0.95,1.29,0.95,80.36345869,5.430054446
Kepler-1743 b,Kepler-1743,,1.599,1.61,1.599,1.61,109.875822,0
Kepler-1745 b,Kepler-1745,,1.929,1.4,1.929,1.4,79.19915222,0
Kepler-1759 b,Kepler-1759,,0.904,0.8,0.904,0.8,96.57090052,0
Kepler-1763 b,Kepler-1763,,1.147,1.26,1.147,1.26,119.875892,0
Kepler-1768 b,Kepler-1768,,2.233,1.57,2.233,1.57,76.72478039,0
Kepler-1772 b,Kepler-1772,0.044,2.69,2.14,2.69,2.14,86.81329057,2.209660006
Kepler-1783 b,Kepler-1783,0.078,2.4,1.8,2.4,1.8,81.84383819,4.657025862
Kepler-180 b,Kepler-180,0.109,1.5,1.06,1.5,1.06,77.1150831,11.05114265
Kepler-1800 b,Kepler-1800,0.052,1.59,1.55,1.59,1.55,106.3798316,3.605439377
Kepler-1804 b,Kepler-1804,,1.596,1.67,1.596,1.67,114.1848035,0
Kepler-1807 b,Kepler-1807,0.0988,2.09,1.5,2.09,1.5,78.31946239,7.07867931
Kepler-1818 b,Kepler-1818,0.055,1.38,1.13,1.38,1.13,89.35607455,5.230832316
Kepler-1823 b,Kepler-1823,0.1528,1.56,1.13,1.56,1.13,79.04575826,14.53220323
Kepler-1827 b,Kepler-1827,0.0442,1.48,1.67,1.48,1.67,123.1344232,2.844411006
Kepler-1832 b,Kepler-1832,0.037,0.97,0.72,0.97,0.72,81.00008728,5.522755029
Kepler-1833 b,Kepler-1833,0.0742,1.32,1.37,1.32,1.37,113.2586448,5.820628618
Kepler-1838 b,Kepler-1838,0.106,1.43,1.43,1.43,1.43,109.1251176,7.966294912
Kepler-1839 b,Kepler-1839,0.0583,1.15,0.94,1.15,0.94,89.19792221,6.665415902
Kepler-1843 b,Kepler-1843,0.166,1.92,1.68,1.92,1.68,95.48447789,10.61904249
Kepler-1846 b,Kepler-1846,0.1089,0.96,0.73,0.96,0.73,82.98055817,16.03214277
Kepler-1848 b,Kepler-1848,0.055,1,0.7,1,0.7,76.38758231,8.444057882
Kepler-185 b,Kepler-185,,1.021,0.73,1.021,0.73,78.02285587,0
Kepler-1850 b,Kepler-1850,0.021,0.57,0.58,0.57,0.58,111.0395933,3.89114893
Kepler-1857 b,Kepler-1857,0.086,1.57,1.11,1.57,1.11,77.1521532,8.326491146
Kepler-1859 b,Kepler-1859,0.039,1.23,1.09,1.23,1.09,96.7043725,3.845250712
Kepler-1860 b,Kepler-1860,0.1021,0.87,0.87,0.87,0.87,109.1251176,12.61226367
Kepler-1863 b,Kepler-1863,0.2438,1.48,1.17,1.48,1.17,86.26782945,22.39414014
Kepler-1866 b,Kepler-1866,0.102,1.14,0.94,1.14,0.94,89.98036012,11.66161959
Kepler-1867 b,Kepler-1867,,1.16,0.82,1.16,0.82,77.14016933,0
Kepler-1869 b,Kepler-1869,0.0854,2.07,2.01,2.07,2.01,105.9620707,4.566130983
Kepler-187 b,Kepler-187,0.059,1.41,1.29,1.41,1.29,99.83787354,4.915286688
Kepler-1879 b,Kepler-1879,0.095,1.32,1.06,1.32,1.06,87.63077625,9.631729831
Kepler-1882 b,Kepler-1882,,1.487,1.46,1.487,1.46,107.1436931,0
Kepler-1884 b,Kepler-1884,0.0845,1.17,0.91,1.17,0.91,84.87509146,9.979341133
Kepler-1888 b,Kepler-1888,,1.326,1.25,1.326,1.25,102.870586,0
Kepler-1893 b,Kepler-1893,0.0504,1.52,1.16,1.52,1.16,83.279695,4.669378716
Kepler-1894 b,Kepler-1894,,1.201,0.9,1.201,0.9,81.77569178,0
Kepler-1898 b,Kepler-1898,0.051,0.74,0.84,0.74,0.84,123.8717551,6.524953818
Kepler-1900 b,Kepler-1900,0.042,1.16,1.04,1.16,1.04,97.83631232,4.340127653
Kepler-1901 b,Kepler-1901,0.045,1.18,0.94,1.18,0.94,86.93017842,5.144832172
Kepler-1905 b,Kepler-1905,0.045,1.13,0.92,1.13,0.92,88.84522848,5.256676349
Kepler-1907 b,Kepler-1907,0.057,0.83,0.78,0.83,0.78,102.5513153,7.853564324
Kepler-1907 c,Kepler-1907,,1.155,0.8,1.155,0.8,75.58449703,0
Kepler-1909 b,Kepler-1909,0.0306,0.93,0.69,0.93,0.69,80.96379692,4.766053223
Kepler-1911 b,Kepler-1911,,1.011,0.97,1.011,0.97,104.6996677,0
Kepler-1912 b,Kepler-1912,0.0646,1.21,0.96,1.21,0.96,86.57860569,7.231823815
Kepler-1913 b,Kepler-1913,,1.519,1.08,1.519,1.08,77.58731205,0
Kepler-192 d,Kepler-192,,1.02,0.94,1.02,0.94,100.5662848,0
Kepler-1921 b,Kepler-1921,0.1557,2.24,2,2.24,2,97.43314071,8.366526078
Kepler-1923 b,Kepler-1923,0.2846,1.83,1.29,1.83,1.29,76.92426322,23.71001002
Kepler-1924 b,Kepler-1924,0.1163,1.2,0.84,1.2,0.84,76.38758231,14.87945351
Kepler-1927 b,Kepler-1927,,3.406,2.48,3.406,2.48,79.45692649,0
Kepler-1931 b,Kepler-1931,0.2322,1.96,1.4,1.96,1.4,77.94651257,17.82463855
Kepler-1933 b,Kepler-1933,0.0557,2.24,1.92,2.24,1.92,93.53581508,3.117744477
Kepler-1934 b,Kepler-1934,,0.913,1.03,0.913,1.03,123.1093879,0
Kepler-194 b,Kepler-194,0.033,1.46,1.04,1.46,1.04,77.73296048,3.410100298
Kepler-1943 b,Kepler-1943,0.0571,1.1,0.97,1.1,0.97,96.22851279,6.326316655
Kepler-1945 b,Kepler-1945,0.0597,1.05,0.8,1.05,0.8,83.14294674,8.019935884
Kepler-1947 b,Kepler-1947,0.0711,1.44,1.69,1.44,1.69,128.0704505,4.521363752
Kepler-1948 b,Kepler-1948,0.1022,0.72,0.56,0.72,0.56,84.87509146,19.61324353
Kepler-1949 b,Kepler-1949,0.0334,0.95,0.99,0.95,0.99,113.7198594,3.625749739
Kepler-1950 b,Kepler-1950,0.0871,1.06,0.85,1.06,0.85,87.50599052,11.01249645
Kepler-1951 b,Kepler-1951,0.1359,0.88,0.9,0.88,0.9,111.6052339,16.22794397
Kepler-1952 b,Kepler-1952,0.1724,1.29,1.3,1.29,1.3,109.9710487,14.25215252
Kepler-1955 b,Kepler-1955,,1.167,1.29,1.167,1.29,120.6267367,0
Kepler-1957 b,Kepler-1957,0.0299,0.82,0.77,0.82,0.77,102.471147,4.173179019
Kepler-1959 b,Kepler-1959,,1.143,0.81,1.143,0.81,77.3327605,0
Kepler-1960 b,Kepler-1960,0.0351,0.97,1.03,0.97,1.03,115.8751249,3.662321309
Kepler-1961 b,Kepler-1961,0.0588,1.11,0.78,1.11,0.78,76.68251506,8.101571618
Kepler-1962 b,Kepler-1962,,1.215,1.01,1.215,1.01,90.71306071,0
Kepler-1963 b,Kepler-1963,0.0298,0.83,0.98,0.83,0.98,128.8465244,3.267960063
Kepler-1965 b,Kepler-1965,0.2305,1.06,0.84,1.06,0.84,86.47650828,29.49023245
Kepler-1966 b,Kepler-1966,0.0763,1.01,0.84,1.01,0.84,90.75752354,9.761842672
Kepler-1967 b,Kepler-1967,0.0735,1.85,1.81,1.85,1.81,106.7656556,4.364106258
Kepler-197 b,Kepler-197,0.059,1.18,1.18,1.18,1.18,109.1251176,5.373491379
Kepler-197 c,Kepler-197,,1.208,1.21,1.208,1.21,109.3057883,0
Kepler-197 d,Kepler-197,,1.15,1.17,1.15,1.17,111.0229457,0
Kepler-197 e,Kepler-197,0.16,1.12,1.18,1.12,1.18,114.971106,14.57218001
Kepler-20 e,Kepler-20,0.063,0.91,0.94,0.91,0.94,112.7226489,7.20276504
Kepler-20 f,Kepler-20,,0.863,0.89,0.863,0.89,112.539229,0
Kepler-203 d,Kepler-203,,1.317,1.04,1.317,1.04,86.17321359,0
Kepler-204 c,Kepler-204,,1.45,1.11,1.45,1.11,83.53715898,0
Kepler-206 b,Kepler-206,0.078,1.2,1.19,1.2,1.19,108.2157416,7.0442408
Kepler-206 d,Kepler-206,0.163,1.19,1.19,1.19,1.19,109.1251176,14.72065706
Kepler-207 b,Kepler-207,0.029,1.57,1.59,1.57,1.59,110.5152465,1.960141509
Kepler-207 c,Kepler-207,0.042,1.11,1.1,1.11,1.1,108.1420084,4.103393417
Kepler-208 b,Kepler-208,,1.532,1.26,1.532,1.26,89.75042308,0
Kepler-208 c,Kepler-208,0.079,1.39,1.31,1.39,1.31,102.8445353,6.48100487
Kepler-208 d,Kepler-208,,1.237,1.26,1.237,1.26,111.1541214,0
Kepler-208 e,Kepler-208,0.132,1.48,1.31,1.48,1.31,96.59047571,10.82902079
Kepler-21 b,Kepler-21,0.0408,1.69,1.73,1.69,1.73,111.7079606,2.534548535
Kepler-213 b,Kepler-213,,1.31,1,1.31,1,83.30161648,0
Kepler-215 c,Kepler-215,,1.323,0.91,1.323,0.91,75.05960469,0
Kepler-217 b,Kepler-217,,2.11,1.76,2.11,1.76,91.02379477,0
Kepler-217 c,Kepler-217,,1.74,1.76,1.74,1.76,110.3794293,0
Kepler-217 d,Kepler-217,0.054,1.25,1.36,1.25,1.36,118.7281279,4.267184331
Kepler-218 b,Kepler-218,0.046,1.48,1.06,1.48,1.06,78.15717882,4.663784971
Kepler-220 b,Kepler-220,0.0456,0.83,0.69,0.83,0.69,90.71847125,7.102353823
Kepler-220 d,Kepler-220,0.162,0.88,0.66,0.88,0.66,81.84383819,26.37895768
Kepler-226 d,Kepler-226,0.0743,1.3,0.91,1.3,0.91,76.38758231,8.774734274
Kepler-23 b,Kepler-23,0.077,1.95,1.87,1.95,1.87,104.6481897,4.425228195
Kepler-23 d,Kepler-23,0.124,2.2,1.55,2.2,1.55,76.88360558,8.597586207
Kepler-238 b,Kepler-238,,1.36,1.26,1.36,1.26,101.1012119,0
Kepler-24 d,Kepler-24,0.051,1.67,1.29,1.67,1.29,84.29425251,4.248807137
Kepler-250 b,Kepler-250,,0.975,0.76,0.975,0.76,85.06163012,0
Kepler-255 d,Kepler-255,,1.323,0.93,1.323,0.93,76.70926633,0
Kepler-256 b,Kepler-256,0.027,1.59,1.3,1.59,1.3,89.22179426,2.23206565
Kepler-270 b,Kepler-270,0.107,2.01,1.46,2.01,1.46,79.26501079,7.876213392
Kepler-270 c,Kepler-270,0.1768,1.5,1.3,1.5,1.3,94.57510191,14.61589655
Kepler-271 b,Kepler-271,0.056,0.89,0.88,0.89,0.88,107.8989927,6.838989028
Kepler-271 c,Kepler-271,,0.95,0.87,0.95,0.87,99.93563401,0
Kepler-278 b,Kepler-278,0.207,4.07,2.94,4.07,2.94,78.82748052,7.566753167
Kepler-278 c,Kepler-278,,2.99,2.75,2.99,2.75,100.3659108,0
Kepler-282 b,Kepler-282,0.082,1.01,0.9,1.01,0.9,97.24020379,9.791695402
Kepler-282 c,Kepler-282,0.1034,1.1,0.87,1.1,0.87,86.30804755,12.77285077
Kepler-285 c,Kepler-285,0.0617,1.21,0.88,1.21,0.88,79.36372188,7.535100411
Kepler-286 b,Kepler-286,0.029,1.33,0.93,1.33,0.93,76.30553335,3.351209677
Kepler-288 b,Kepler-288,0.067,1.64,1.15,1.64,1.15,76.52066173,6.261285607
Kepler-295 b,Kepler-295,0.099,1.22,0.9,1.22,0.9,80.50213593,11.82168103
Kepler-295 c,Kepler-295,0.142,1.17,0.9,1.17,0.9,83.94239815,16.95635057
Kepler-299 b,Kepler-299,0.04,1.32,1.03,1.32,1.03,85.15065994,4.173585537
Kepler-301 b,Kepler-301,0.0355,1.28,0.88,1.28,0.88,75.02351834,4.335430545
Kepler-309 b,Kepler-309,,1.04,0.77,1.04,0.77,80.79455822,0
Kepler-310 b,Kepler-310,0.111,1.19,0.88,1.19,0.88,80.69756595,13.55585325
Kepler-311 b,Kepler-311,,1.6,1.13,1.6,1.13,77.0696143,0
Kepler-311 c,Kepler-311,0.145,1.43,1.19,1.43,1.19,90.81041254,13.09506303
Kepler-312 b,Kepler-312,,1.513,1.7,1.513,1.7,122.6124917,0
Kepler-314 b,Kepler-314,,0.835,0.88,0.835,0.88,115.006112,0
Kepler-320 b,Kepler-320,,1.5,1.53,1.5,1.53,111.3076199,0
Kepler-320 c,Kepler-320,0.142,1.37,1.11,1.37,1.11,88.41524126,13.74839236
Kepler-322 b,Kepler-322,0.0263,0.97,0.88,0.97,0.88,99.00010668,3.211882347
Kepler-323 b,Kepler-323,,1.34,1.12,1.34,1.12,91.20905351,0
Kepler-323 c,Kepler-323,,1.9,1.38,1.9,1.38,79.25929594,0
Kepler-324 b,Kepler-324,0.05,1.14,0.84,1.14,0.84,80.40798138,6.397013547
Kepler-33 b,Kepler-33,0.068,1.79,1.82,1.79,1.82,110.9540302,4.015356196
Kepler-332 c,Kepler-332,0.1141,1.04,0.72,1.04,0.72,75.54815833,17.0309824
Kepler-334 b,Kepler-334,,1.09,1.11,1.09,1.11,111.1274133,0
Kepler-334 c,Kepler-334,0.107,1.43,1.07,1.43,1.07,81.65306002,10.74698276
Kepler-334 d,Kepler-334,0.168,1.41,1.07,1.41,1.07,82.81125945,16.87376732
Kepler-336 b,Kepler-336,0.032,0.92,0.96,0.92,0.96,113.8696879,3.582327586
Kepler-337 b,Kepler-337,0.044,1.43,1.46,1.43,1.46,111.4144557,3.238816722
Kepler-337 c,Kepler-337,0.093,2.05,1.76,2.05,1.76,93.68790583,5.678803389
Kepler-338 b,Kepler-338,,2.58,1.9,2.58,1.9,80.36345869,0
Kepler-338 c,Kepler-338,,2.48,1.9,2.48,1.9,83.60392074,0
Kepler-338 d,Kepler-338,,2.66,1.9,2.66,1.9,77.94651257,0
Kepler-338 e,Kepler-338,,1.75,1.78,1.75,1.78,110.9958339,0
Kepler-339 c,Kepler-339,,1.054,0.78,1.054,0.78,80.75672839,0
Kepler-339 d,Kepler-339,,1.07,0.78,1.07,0.78,79.54915114,0
Kepler-340 b,Kepler-340,,2.259,1.68,2.259,1.68,81.15546594,0
Kepler-341 b,Kepler-341,0.0579,1.18,1.11,1.18,1.11,102.6515937,5.605858574
Kepler-342 c,Kepler-342,,1.76,1.34,1.76,1.34,83.08389635,0
Kepler-342 e,Kepler-342,0.0293,1.18,1.37,1.18,1.37,126.6961111,2.298442298
Kepler-343 c,Kepler-343,0.167,2.02,1.43,2.02,1.43,77.25193968,12.55067217
Kepler-345 b,Kepler-345,0.063,0.69,0.58,0.69,0.58,91.72835971,11.67344679
Kepler-348 b,Kepler-348,,1.52,1.39,1.52,1.39,99.79204832,0
Kepler-348 c,Kepler-348,0.138,1.33,1.36,1.33,1.36,111.5865864,10.90502662
Kepler-350 b,Kepler-350,0.0979,1.5,1.25,1.5,1.25,90.93759799,8.417036897
Kepler-352 b,Kepler-352,0.085,0.86,0.78,0.86,0.78,98.97394386,11.71145557
Kepler-352 d,Kepler-352,,0.806,0.77,0.806,0.77,104.2510429,0
Kepler-355 b,Kepler-355,0.0971,1.45,1.07,1.45,1.07,80.52681091,9.752635756
Kepler-356 b,Kepler-356,0.0556,1.3,1.11,1.3,1.11,93.17606194,5.383173346
Kepler-356 c,Kepler-356,0.115,1.81,1.33,1.81,1.33,80.18585989,9.292503889
Kepler-36 b,Kepler-36,,1.582,1.63,1.582,1.63,112.4361199,0
Kepler-361 b,Kepler-361,0.0838,1.34,1.27,1.34,1.27,103.4245517,7.091316182
Kepler-362 b,Kepler-362,0.0864,0.84,0.73,0.84,0.73,94.83492362,12.71971658
Kepler-363 b,Kepler-363,0.047,1.61,1.91,1.61,1.91,129.4589904,2.644545496
Kepler-363 c,Kepler-363,,1.41,1.29,1.41,1.29,99.83787354,0
Kepler-363 d,Kepler-363,0.1079,1.83,1.39,1.83,1.39,82.8873844,8.342442012
Kepler-364 b,Kepler-364,0.182,1.3,1.17,1.3,1.17,98.21260583,16.71752874
Kepler-366 b,Kepler-366,0.045,1.37,1.01,1.37,1.01,80.44990421,4.788259645
Kepler-37 c,Kepler-37,,0.75,0.77,0.75,0.77,112.0351207,0
Kepler-370 b,Kepler-370,,1.498,1.06,1.498,1.06,77.21804049,0
Kepler-372 b,Kepler-372,0.075,1.36,1.14,1.36,1.14,91.47252504,7.070383394
Kepler-373 c,Kepler-373,0.1238,1.15,0.84,1.15,0.84,79.70878155,15.83900554
Kepler-374 b,Kepler-374,0.029,1.03,0.91,1.03,0.91,96.41151166,3.424862637
Kepler-374 c,Kepler-374,,1.627,1.38,1.627,1.38,92.55848941,0
Kepler-374 d,Kepler-374,,1.849,1.38,1.849,1.38,81.44546364,0
Kepler-376 b,Kepler-376,0.059,1.11,1.16,1.11,1.16,114.0406634,5.466137782
Kepler-377 b,Kepler-377,0.109,1.39,1.22,1.39,1.22,95.77888019,9.601812465
Kepler-378 b,Kepler-378,0.112,0.75,0.67,0.75,0.67,97.48510505,17.96510551
Kepler-378 c,Kepler-378,0.1826,1.8,1.82,1.8,1.82,110.3376189,10.78241237
Kepler-379 b,Kepler-379,0.1495,1.58,1.26,1.58,1.26,87.02382795,12.75138034
Kepler-380 b,Kepler-380,,1.12,1.14,1.12,1.14,111.0737804,0
Kepler-380 c,Kepler-380,0.078,1.27,1.22,1.27,1.22,104.8288531,6.871021764
Kepler-381 c,Kepler-381,0.123,1.15,1.35,1.15,1.35,128.1033989,9.791695402
Kepler-382 b,Kepler-382,0.057,1.35,1,1.35,1,80.83342044,6.125780172
Kepler-384 b,Kepler-384,,1.946,1.65,1.946,1.65,92.52643578,0
Kepler-384 c,Kepler-384,0.236,1.13,0.88,1.13,0.88,84.98239246,28.82145376
Kepler-387 b,Kepler-387,0.068,1.03,1.05,1.03,1.05,111.2440519,6.959950739
Kepler-387 c,Kepler-387,,1.138,1.14,1.138,1.14,109.3169016,0
Kepler-388 b,Kepler-388,0.036,0.81,0.59,0.81,0.59,79.48619676,6.557481005
Kepler-388 c,Kepler-388,0.094,0.91,0.63,0.91,0.63,75.54815833,16.03518062
Kepler-390 b,Kepler-390,,0.79,0.8,0.79,0.8,110.5064482,0
Kepler-390 c,Kepler-390,0.101,0.79,0.78,0.79,0.78,107.743787,13.91596485
Kepler-391 b,Kepler-391,,2.765,2.74,2.765,2.74,108.1384529,0
Kepler-391 c,Kepler-391,0.161,3.54,3.57,3.54,3.57,110.0499067,4.846678499
Kepler-392 b,Kepler-392,0.059,1,1.13,1,1.13,123.3113829,5.611256485
Kepler-392 c,Kepler-392,,1.13,1.14,1.13,1.14,110.0908266,0
Kepler-393 b,Kepler-393,,1.31,1.34,1.31,1.34,111.6241661,0
Kepler-393 c,Kepler-393,0.124,1.33,1.38,1.33,1.38,113.2275656,9.656709145
Kepler-394 b,Kepler-394,,1.401,1.02,1.401,1.02,79.44869375,0
Kepler-394 d,Kepler-394,0.065,1.37,1.1,1.37,1.1,87.61870756,6.350489812
Kepler-398 b,Kepler-398,0.043,0.73,0.57,0.73,0.57,85.2072836,8.107372958
Kepler-398 d,Kepler-398,0.0626,0.85,0.66,0.85,0.66,84.73244425,10.19335031
Kepler-399 b,Kepler-399,0.103,0.96,0.68,0.96,0.68,77.29695829,16.278518
Kepler-400 b,Kepler-400,,1.59,1.12,1.59,1.12,76.86800736,0
Kepler-400 c,Kepler-400,0.1313,1.43,1.11,1.43,1.11,84.70551086,12.71242195
Kepler-401 b,Kepler-401,0.123,1.75,1.46,1.75,1.46,91.04152668,9.053964927
Kepler-401 c,Kepler-401,0.272,2.1,1.46,2.1,1.46,75.8679389,20.0217761
Kepler-402 b,Kepler-402,0.0498,1.21,1.2,1.21,1.2,108.2232571,4.459997845
Kepler-402 c,Kepler-402,0.07,1.43,1.23,1.43,1.23,93.86286338,6.11616905
Kepler-402 d,Kepler-402,,1.22,1.24,1.22,1.24,110.9140539,0
Kepler-402 e,Kepler-402,0.105,1.41,1.23,1.41,1.23,95.19425152,9.174253574
Kepler-403 b,Kepler-403,0.0743,1.09,1.11,1.09,1.11,111.1274133,7.193701072
Kepler-403 c,Kepler-403,0.293,1.35,1.06,1.35,1.06,85.68342566,29.70628253
Kepler-403 d,Kepler-403,0.1153,1.09,1.11,1.09,1.11,111.1274133,11.16330732
Kepler-404 b,Kepler-404,,1.081,0.79,1.081,0.79,79.74916087,0
Kepler-406 b,Kepler-406,,1.27,0.97,1.27,0.97,83.34753076,0
Kepler-407 b,Kepler-407,,1.07,1.06,1.07,1.06,108.1052567,0
Kepler-409 b,Kepler-409,,0.98,0.9,0.98,0.9,100.2169447,0
Kepler-430 c,Kepler-430,0.4757,1.75,1.49,1.75,1.49,92.91224298,34.31100469
Kepler-431 d,Kepler-431,0.109,1.82,1.79,1.82,1.79,107.3263519,6.544252071
Kepler-444 c,Kepler-444,,0.75,0.83,0.75,0.83,120.7651301,0
Kepler-444 d,Kepler-444,,0.755,0.83,0.755,0.83,119.9653611,0
Kepler-444 e,Kepler-444,,0.718,0.83,0.718,0.83,126.1474201,0
Kepler-444 f,Kepler-444,0.0811,0.741,0.75,0.741,0.75,110.4505239,11.62107069
Kepler-449 b,Kepler-449,0.1047,1.57,1.47,1.57,1.47,102.1744732,7.654483638
Kepler-449 c,Kepler-449,0.2018,1.89,1.47,1.89,1.47,84.87509146,14.75334096
Kepler-452 b,Kepler-452,,1.511,1.11,1.511,1.11,80.16471246,0
Kepler-466 c,Kepler-466,0.0465,1.16,1.02,1.16,1.02,95.95484478,4.899359787
Kepler-495 c,Kepler-495,0.061,0.74,0.76,0.74,0.76,112.0744451,8.62586774
Kepler-50 b,Kepler-50,,1.56,1.59,1.56,1.59,111.2236775,0
Kepler-50 c,Kepler-50,0.094,1.82,1.58,1.82,1.58,94.7349922,6.393774553
Kepler-501 c,Kepler-501,0.0467,1.62,1.22,1.62,1.22,82.18064411,4.113804056
Kepler-507 b,Kepler-507,,1.3,1.32,1.3,1.32,110.8039656,0
