pl_name (Exoplanet),hostname (Host star),pl_orbsmax (d),pl_rade (Dp),st_rad (Ds),Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1050 b,Kepler-1050,,1.38,1.01,1.38,1.01,79.86693389,0
Kepler-1050 c,Kepler-1050,,1.48,1.13,1.48,1.13,83.31850195,0
Kepler-1053 b,Kepler-1053,0.0315,0.97,0.72,0.97,0.72,81.00008728,4.701804957
Kepler-1055 b,Kepler-1055,0.0331,1.18,0.91,1.18,0.91,84.15581102,3.909067355
Kepler-106 b,Kepler-106,,0.92,1.05,0.92,1.05,124.5449712,0
Kepler-106 d,Kepler-106,,1.03,1.05,1.03,1.05,111.2440519,0
Kepler-1063 b,Kepler-1063,0.1105,1.15,0.88,1.15,0.88,83.50443781,13.49479085
Kepler-1067 b,Kepler-1067,,0.8,0.93,0.8,0.93,126.8579492,0
Kepler-107 b,Kepler-107,,1.581,1.5,1.581,1.5,103.5342672,0
Kepler-107 c,Kepler-107,0.06064,1.597,1.45,1.597,1.45,99.08041359,4.494462307
Kepler-107 d,Kepler-107,0.083,1.08,1.18,1.08,1.18,119.2292951,7.559318381
Kepler-1070 b,Kepler-1070,,1.73,1.32,1.73,1.32,83.2630955,0
Kepler-1072 b,Kepler-1072,,1.58,1.32,1.58,1.32,91.16781976,0
Kepler-1073 d,Kepler-1073,0.0352,1.48,1.12,1.48,1.12,82.58117007,3.377623153
Kepler-1076 b,Kepler-1076,0.0611,0.79,0.75,0.79,0.75,103.5997952,8.755208621
Kepler-1079 b,Kepler-1079,,1.63,1.36,1.63,1.36,91.04917787,0
Kepler-1081 b,Kepler-1081,,0.957,0.84,0.957,0.84,95.78380227,0
Kepler-1082 b,Kepler-1082,,1.12,1.14,1.12,1.14,111.0737804,0
Kepler-1084 b,Kepler-1084,,1.3,1.23,1.3,1.23,103.2491497,0
Kepler-1088 b,Kepler-1088,0.165,1.6,1.28,1.6,1.28,87.30009407,13.85353246
Kepler-1091 b,Kepler-1091,0.025,1.11,0.85,1.11,0.85,83.56427924,3.160877282
Kepler-1095 b,Kepler-1095,,1.21,0.92,1.21,0.92,82.97116379,0
Kepler-1098 b,Kepler-1098,,1.477,1.21,1.477,1.21,89.39836986,0
Kepler-1100 b,Kepler-1100,0.0684,1.25,0.98,1.25,0.98,85.55409219,7.500955313
Kepler-1104 b,Kepler-1104,0.061,1.14,1.27,1.14,1.27,121.5692099,5.161936601
Kepler-1106 b,Kepler-1106,,1.65,1.17,1.65,1.17,77.37962884,0
Kepler-111 b,Kepler-111,0.046,1.49,1.16,1.49,1.16,84.95646739,4.261734542
Kepler-1115 b,Kepler-1115,,1.7,1.73,1.7,1.73,111.050855,0
Kepler-1117 b,Kepler-1117,,1.11,0.93,1.11,0.93,91.42915258,0
Kepler-1121 b,Kepler-1121,0.115,1.53,1.43,1.53,1.43,101.992757,8.642678442
Kepler-1130 b,Kepler-1130,,0.8,0.81,0.8,0.81,110.4891816,0
Kepler-1130 c,Kepler-1130,,0.792,0.84,0.792,0.84,115.7387611,0
Kepler-1137 b,Kepler-1137,,2.2,1.84,2.2,1.84,91.26828017,0
Kepler-1139 b,Kepler-1139,0.0165,1.14,0.89,1.14,0.89,85.19417075,1.992418152
Kepler-1141 b,Kepler-1141,,0.98,1.14,0.98,1.14,126.9414633,0
Kepler-1142 b,Kepler-1142,0.134,1.16,0.86,1.16,0.86,80.90310442,16.74529872
Kepler-1149 b,Kepler-1149,,1.44,1.01,1.44,1.01,76.53914498,0
Kepler-115 b,Kepler-115,,1.212,1.15,1.212,1.15,103.5428096,0
Kepler-1150 b,Kepler-1150,0.0382,2.33,1.73,2.33,1.73,81.02422894,2.373033187
Kepler-1156 b,Kepler-1156,,1.32,1,1.32,1,82.67054363,0
Kepler-1157 b,Kepler-1157,,0.931,0.72,0.931,0.72,84.39321661,0
Kepler-1158 b,Kepler-1158,0.1174,1.55,1.34,1.55,1.34,94.34042424,9.415640118
Kepler-1163 b,Kepler-1163,0.069,0.97,1.12,0.97,1.12,126.0001358,6.620909021
Kepler-1164 b,Kepler-1164,0.045,1.05,0.79,1.05,0.79,82.1036599,6.12169904
Kepler-1165 b,Kepler-1165,,1.55,1.18,1.55,1.18,83.07589597,0
Kepler-1169 b,Kepler-1169,0.067,1.04,1.21,1.04,1.21,126.9628772,5.950808635
Kepler-1171 b,Kepler-1171,,2.395,1.83,2.395,1.83,83.38161386,0
Kepler-1173 b,Kepler-1173,,0.89,0.82,0.89,0.82,100.5422432,0
